epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,86.5718,0.77983,0.48422,0.97422,0.64439,0.76296,0.71503,0.45052,1.26899,1.32434,1.36349,0.005842,0.005842,0.005842
44,88.4739,0.79005,0.49312,0.98521,0.95127,0.93499,0.97649,0.73477,0.89258,0.552,1.02153,0.005743,0.005743,0.005743
45,90.3766,0.80352,0.49856,0.97626,0.93526,0.95354,0.97893,0.69886,0.97186,0.58539,1.04884,0.005644,0.005644,0.005644
46,92.2762,0.80171,0.4798,0.99001,0.91731,0.95264,0.9744,0.72698,0.92825,0.60616,1.03196,0.005545,0.005545,0.005545
47,94.1729,0.76914,0.47222,0.97626,0.95696,0.95422,0.98226,0.70116,0.99345,0.55086,1.04627,0.005446,0.005446,0.005446
48,96.053,0.74139,0.46511,0.95698,0.96404,0.95077,0.9829,0.72721,0.91497,0.51592,1.03353,0.005347,0.005347,0.005347
49,97.9386,0.75776,0.47837,0.98508,0.96267,0.94879,0.98452,0.7309,0.91699,0.5382,1.03098,0.005248,0.005248,0.005248
50,99.862,0.75473,0.46533,0.97953,0.93716,0.96135,0.97895,0.73185,0.86417,0.52452,1.01587,0.005149,0.005149,0.005149
51,101.751,0.78047,0.47854,0.97331,0.95608,0.94879,0.97844,0.73291,0.92952,0.51968,1.04337,0.00505,0.00505,0.00505
52,103.676,0.73435,0.46201,0.96831,0.95168,0.95674,0.97874,0.75062,0.86714,0.50416,1.00563,0.004951,0.004951,0.004951
53,105.564,0.74838,0.46614,0.96027,0.961,0.95207,0.97906,0.73942,0.88619,0.50625,1.02002,0.004852,0.004852,0.004852
54,107.47,0.74604,0.45938,0.97497,0.96044,0.96269,0.97751,0.73136,0.92707,0.50663,1.03497,0.004753,0.004753,0.004753
55,109.362,0.73271,0.46118,0.96999,0.96154,0.96509,0.97755,0.74889,0.85629,0.49974,1.00609,0.004654,0.004654,0.004654
56,111.253,0.74675,0.45133,0.98297,0.9614,0.96517,0.97781,0.75373,0.87014,0.49555,1.01516,0.004555,0.004555,0.004555
57,113.159,0.74315,0.44411,0.97306,0.95478,0.96927,0.98184,0.73219,0.95982,0.5057,1.03975,0.004456,0.004456,0.004456
58,115.038,0.70253,0.44178,0.94185,0.94476,0.97761,0.98134,0.75634,0.88473,0.49294,0.99635,0.004357,0.004357,0.004357
59,116.941,0.73953,0.44321,0.94872,0.93561,0.97824,0.97917,0.73457,0.92111,0.49647,1.01583,0.004258,0.004258,0.004258
60,118.834,0.71317,0.42983,0.94348,0.93966,0.97877,0.97387,0.72027,0.95332,0.5144,1.03822,0.004159,0.004159,0.004159
61,120.706,0.70923,0.42686,0.94423,0.95694,0.97332,0.98183,0.73707,0.87196,0.47407,0.99495,0.00406,0.00406,0.00406
62,122.623,0.6947,0.41917,0.9585,0.95147,0.97846,0.97846,0.73708,0.90639,0.47257,0.99781,0.003961,0.003961,0.003961
63,124.517,0.72029,0.4251,0.94679,0.96602,0.94816,0.97845,0.74103,0.87704,0.50113,1.01049,0.003862,0.003862,0.003862
64,126.441,0.73179,0.44575,0.95562,0.97069,0.97217,0.983,0.74861,0.86334,0.4955,1.00985,0.003763,0.003763,0.003763
65,128.325,0.68006,0.42402,0.95154,0.96369,0.97848,0.98223,0.75195,0.89033,0.48353,1.01237,0.003664,0.003664,0.003664
66,130.225,0.68783,0.41694,0.93228,0.93514,0.98495,0.98231,0.76982,0.84939,0.47615,0.99761,0.003565,0.003565,0.003565
67,132.137,0.69501,0.42339,0.94762,0.92297,0.98698,0.98362,0.76221,0.875,0.49027,0.99217,0.003466,0.003466,0.003466
68,134.039,0.68417,0.41858,0.93739,0.94668,0.98014,0.97887,0.74907,0.86582,0.4713,0.97737,0.003367,0.003367,0.003367
69,135.908,0.69307,0.42345,0.93511,0.96236,0.97276,0.98064,0.75406,0.84036,0.46987,0.98514,0.003268,0.003268,0.003268
