epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.49624,0.95292,3.3126,1.17082,0.00782,0.71196,0.32089,0.19636,1.14714,2.94805,1.17188,0.0006,0.0006,0.0946
2,5.42796,1.16394,1.82118,1.2068,0.00928,0.62981,0.2193,0.07965,1.71713,3.31947,1.93911,0.00128713,0.00128713,0.0882871
3,7.32698,1.16779,1.25986,1.15855,0.01101,0.15155,0.00589,0.00157,3.11552,inf,15.9724,0.0019604,0.0019604,0.0819604
4,9.21929,1.1313,1.05804,1.17068,0.01154,0.19858,0.00442,0.00133,2.82309,19.2409,15.2147,0.00261981,0.00261981,0.0756198
5,11.1061,1.1027,0.915,1.14018,0.00597,0.17851,0.0044,0.00123,2.96783,inf,21.9134,0.00326536,0.00326536,0.0692654
6,12.9995,1.0675,0.86767,1.14629,0.01876,0.1087,0.00897,0.0026,3.28774,46.2711,30.4859,0.00389705,0.00389705,0.0628971
7,14.8681,1.11561,0.86639,1.18419,0.00614,0.28783,0.00437,0.00089,3.58566,inf,15.1691,0.00451488,0.00451488,0.0565149
8,16.6597,1.12169,0.84498,1.15829,0.01168,0.15426,0.00599,0.0012,3.79107,inf,37.0284,0.00511885,0.00511885,0.0501188
9,18.4862,1.04607,0.78761,1.10743,0,0,0,0,3.71407,inf,41.9142,0.00570896,0.00570896,0.043709
10,20.3139,1.00103,0.75809,1.10528,0.17395,0.23558,0.08242,0.02521,3.16698,inf,6.91452,0.00628521,0.00628521,0.0372852
11,22.2896,1.00469,0.7241,1.09473,0.68,0.29327,0.2651,0.09376,2.35342,21.1051,3.48736,0.0068476,0.0068476,0.0308476
12,24.1223,0.99534,0.73202,1.08743,0.8,0.13043,0.14916,0.05736,2.26027,28.958,2.86031,0.00739613,0.00739613,0.0243961
13,25.9273,0.97208,0.71538,1.06927,0.12986,0.33612,0.10334,0.0383,2.20711,15.5998,2.89582,0.0079308,0.0079308,0.0179308
14,27.7781,0.94444,0.70344,1.06451,0.43233,0.69691,0.55512,0.29201,1.49188,8.1152,1.79959,0.00845161,0.00845161,0.0114516
15,29.6165,0.95715,0.67521,1.0736,0.31186,0.52365,0.42687,0.19911,1.64237,7.37808,1.91308,0.008614,0.008614,0.008614
16,31.4425,0.95507,0.66477,1.07029,0.44917,0.61099,0.56642,0.29689,1.50326,5.59674,1.68249,0.008515,0.008515,0.008515
17,33.2691,0.94728,0.66458,1.06683,0.5284,0.7214,0.66158,0.35238,1.43858,5.34802,1.65042,0.008416,0.008416,0.008416
18,35.1087,0.93172,0.66764,1.06178,0.50158,0.66451,0.60385,0.33027,1.45177,6.2307,1.63068,0.008317,0.008317,0.008317
19,36.9006,0.92608,0.65892,1.04873,0.52099,0.63995,0.54939,0.32269,1.40633,4.59813,1.54814,0.008218,0.008218,0.008218
20,38.8741,0.89963,0.64558,1.03132,0.57898,0.63441,0.65316,0.39255,1.37929,3.96656,1.53885,0.008119,0.008119,0.008119
21,40.6902,0.87931,0.61061,1.01845,0.74653,0.7579,0.81122,0.53975,1.16702,3.11706,1.25178,0.00802,0.00802,0.00802
