epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,89.0572,1.02725,0.49004,0.99448,0.95819,0.97156,0.98509,0.72479,1.24135,0.51968,1.01598,0.00374,0.00374,0.00374
44,91.0665,1.07985,0.51543,1.01471,0.94414,0.98014,0.98157,0.74945,1.15936,0.49425,0.99572,0.00371,0.00371,0.00371
45,93.2273,1.02787,0.48242,0.98364,0.9346,0.98325,0.97924,0.73365,1.15609,0.51777,1.00129,0.00368,0.00368,0.00368
46,95.2106,1.012,0.47159,0.98302,0.92004,0.97969,0.97304,0.75223,1.08157,0.51641,0.97098,0.00365,0.00365,0.00365
47,97.1657,1.01914,0.48064,0.97311,0.92947,0.96528,0.96726,0.7332,1.12871,0.66651,0.99253,0.00362,0.00362,0.00362
48,99.1724,1.04421,0.48616,0.99933,0.92401,0.93524,0.9593,0.71933,1.135,0.6084,1.03258,0.00359,0.00359,0.00359
49,101.122,1.01183,0.47929,0.98021,0.93458,0.97207,0.98431,0.7483,1.07714,0.49769,0.96726,0.00356,0.00356,0.00356
50,103.092,1.01372,0.49318,0.99619,0.94421,0.96777,0.9833,0.7105,1.31554,0.50866,1.05373,0.00353,0.00353,0.00353
51,105.09,1.04113,0.48404,0.9855,0.95315,0.9792,0.98495,0.7536,1.13334,0.49239,0.98663,0.0035,0.0035,0.0035
52,107.119,1.00059,0.46562,0.9819,0.94776,0.98014,0.98142,0.72353,1.23556,0.48987,1.01175,0.00347,0.00347,0.00347
53,109.162,0.97411,0.46264,0.96414,0.9406,0.98576,0.97818,0.75426,1.06981,0.47382,0.97088,0.00344,0.00344,0.00344
54,111.221,0.99333,0.47341,0.96252,0.96009,0.97527,0.97785,0.7496,1.09993,0.45508,0.98507,0.00341,0.00341,0.00341
55,113.179,0.99289,0.46344,0.98527,0.9539,0.97053,0.97976,0.73468,1.16865,0.47556,1.01643,0.00338,0.00338,0.00338
56,115.17,0.98221,0.45425,0.98622,0.95221,0.97929,0.97465,0.74925,1.12326,0.47911,0.98828,0.00335,0.00335,0.00335
57,117.126,1.02125,0.47674,0.99661,0.95122,0.98014,0.97536,0.73654,1.17831,0.46962,1.01324,0.00332,0.00332,0.00332
58,119.09,0.98619,0.46689,0.9813,0.95789,0.97612,0.97386,0.74768,1.11463,0.46531,0.99638,0.00329,0.00329,0.00329
59,121.044,0.98686,0.46458,0.98244,0.95917,0.97873,0.98062,0.75506,1.17349,0.46698,1.01222,0.00326,0.00326,0.00326
60,122.981,1.00358,0.46006,0.98258,0.96884,0.97539,0.97796,0.764,1.12804,0.46153,1.00045,0.00323,0.00323,0.00323
61,124.926,0.93321,0.43465,0.96406,0.95247,0.98724,0.98347,0.74019,1.20745,0.46087,1.03878,0.0032,0.0032,0.0032
62,126.882,0.98749,0.46889,0.98832,0.9439,0.98475,0.97213,0.72227,1.24382,0.48183,1.04485,0.00317,0.00317,0.00317
63,128.832,0.96813,0.45189,0.96628,0.95773,0.97174,0.98076,0.73865,1.16321,0.46627,1.00943,0.00314,0.00314,0.00314
64,130.797,0.97476,0.44053,0.96898,0.95141,0.98869,0.98306,0.73902,1.18412,0.46946,1.02149,0.00311,0.00311,0.00311
65,132.825,0.98842,0.46389,0.97894,0.94771,0.97986,0.97876,0.74342,1.13736,0.45315,1.00236,0.00308,0.00308,0.00308
66,134.782,1.00068,0.46403,0.97715,0.9476,0.96826,0.98535,0.75761,1.15151,0.47091,0.98412,0.00305,0.00305,0.00305
67,136.734,0.93534,0.44679,0.98151,0.95997,0.97471,0.98413,0.75296,1.1566,0.45766,0.97802,0.00302,0.00302,0.00302
68,138.672,0.96784,0.45347,0.96556,0.95707,0.98495,0.98283,0.76111,1.04508,0.45112,0.9674,0.00299,0.00299,0.00299
69,140.602,0.96698,0.46798,0.9639,0.96246,0.97519,0.9788,0.7498,1.08697,0.46532,0.98221,0.00296,0.00296,0.00296
70,142.549,0.94858,0.44389,0.95858,0.95945,0.97533,0.98097,0.75307,1.11928,0.46918,0.99337,0.00293,0.00293,0.00293
71,144.502,0.95155,0.43115,0.96391,0.94268,0.97533,0.9777,0.73788,1.13294,0.45572,0.98636,0.0029,0.0029,0.0029
72,146.472,0.98933,0.44817,0.97587,0.9479,0.98976,0.98222,0.76487,1.05303,0.44749,0.96741,0.00287,0.00287,0.00287
73,148.441,0.94509,0.43797,0.95839,0.95313,0.98976,0.98494,0.75781,1.11377,0.44759,0.98295,0.00284,0.00284,0.00284
74,150.476,0.95888,0.44075,0.9696,0.93836,0.98976,0.97967,0.75393,1.10831,0.45449,0.98201,0.00281,0.00281,0.00281
75,152.418,0.94099,0.45876,0.97054,0.95962,0.98976,0.98201,0.74765,1.13543,0.44079,0.98733,0.00278,0.00278,0.00278
76,154.37,0.92785,0.42427,0.95823,0.95786,0.98495,0.97932,0.77231,1.05066,0.44409,0.97313,0.00275,0.00275,0.00275
77,156.323,0.93396,0.44585,0.95413,0.95811,0.98495,0.9802,0.73376,1.19246,0.4673,1.01169,0.00272,0.00272,0.00272
78,158.273,0.99645,0.43636,0.97947,0.95969,0.98014,0.98031,0.75942,1.08981,0.4372,0.97888,0.00269,0.00269,0.00269
79,160.241,0.92189,0.41933,0.96112,0.96044,0.98014,0.98173,0.7467,1.14568,0.44376,0.99608,0.00266,0.00266,0.00266
