epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,85.7059,0.75665,0.48897,0.98873,0.95661,0.98043,0.98264,0.7545,0.84017,0.47744,0.98647,0.00374,0.00374,0.00374
44,87.7698,0.78742,0.4957,1.00558,0.97766,0.97219,0.98684,0.75585,0.84413,0.48233,0.98352,0.00371,0.00371,0.00371
45,89.7371,0.76417,0.4728,0.98526,0.94664,0.97186,0.98685,0.72736,0.89824,0.49324,1.01947,0.00368,0.00368,0.00368
46,91.696,0.77314,0.47726,0.98813,0.96692,0.96384,0.98059,0.74173,0.83981,0.45817,0.98814,0.00365,0.00365,0.00365
47,93.6342,0.76535,0.48566,0.97377,0.94515,0.97881,0.98306,0.74254,0.88376,0.48718,0.99702,0.00362,0.00362,0.00362
48,95.5784,0.78466,0.49579,0.99774,0.90468,0.98067,0.98289,0.75417,0.82573,0.49022,0.98174,0.00359,0.00359,0.00359
49,97.5134,0.76253,0.47425,0.98275,0.95355,0.96452,0.98309,0.75332,0.84287,0.50344,0.99335,0.00356,0.00356,0.00356
50,99.4392,0.7573,0.4797,0.98569,0.94298,0.98495,0.98512,0.74874,0.8637,0.49275,0.99069,0.00353,0.00353,0.00353
51,101.346,0.77587,0.47946,0.98105,0.93191,0.98495,0.98393,0.73965,0.86408,0.49849,0.98682,0.0035,0.0035,0.0035
52,103.264,0.73656,0.46217,0.97651,0.95972,0.97471,0.97795,0.71613,0.90905,0.51997,1.02856,0.00347,0.00347,0.00347
53,105.189,0.71905,0.45151,0.96075,0.95097,0.98014,0.98289,0.75494,0.83498,0.48696,0.99133,0.00344,0.00344,0.00344
54,107.19,0.72464,0.4555,0.95682,0.95876,0.97914,0.97975,0.76125,0.79319,0.45784,0.98164,0.00341,0.00341,0.00341
55,109.111,0.753,0.47949,0.98616,0.94906,0.98031,0.97627,0.74879,0.84481,0.47213,0.99796,0.00338,0.00338,0.00338
56,111.033,0.72786,0.46188,0.98145,0.96306,0.9841,0.98378,0.76765,0.79266,0.45272,0.96851,0.00335,0.00335,0.00335
57,112.963,0.75872,0.46688,0.99054,0.95829,0.98014,0.98197,0.74006,0.83196,0.45217,0.98469,0.00332,0.00332,0.00332
58,114.881,0.71466,0.45419,0.97005,0.94844,0.98103,0.98205,0.73666,0.81786,0.45745,0.97628,0.00329,0.00329,0.00329
59,116.807,0.74806,0.46218,0.98282,0.96215,0.98495,0.98559,0.74691,0.81121,0.4359,0.98089,0.00326,0.00326,0.00326
60,118.727,0.74551,0.4544,0.97216,0.96017,0.98336,0.98437,0.75214,0.83619,0.45173,0.97941,0.00323,0.00323,0.00323
61,120.644,0.69563,0.439,0.96272,0.93603,0.94838,0.96711,0.71994,0.88893,0.53327,1.01022,0.0032,0.0032,0.0032
62,122.563,0.73577,0.45731,0.98682,0.94562,0.9702,0.97587,0.73352,0.84956,0.46591,0.99108,0.00317,0.00317,0.00317
63,124.503,0.72449,0.44525,0.95773,0.92959,0.98014,0.97563,0.73257,0.84117,0.466,0.9903,0.00314,0.00314,0.00314
64,126.526,0.72062,0.44399,0.96699,0.94383,0.99377,0.98179,0.73736,0.90086,0.45762,1.01542,0.00311,0.00311,0.00311
65,128.442,0.73547,0.45812,0.97267,0.9494,0.97952,0.9831,0.76284,0.84286,0.4425,0.98428,0.00308,0.00308,0.00308
66,130.362,0.74555,0.4481,0.97266,0.93881,0.98913,0.985,0.765,0.86974,0.43292,0.98779,0.00305,0.00305,0.00305
67,132.276,0.68765,0.44916,0.97506,0.96716,0.96384,0.98496,0.7523,0.88912,0.43784,1.00165,0.00302,0.00302,0.00302
68,134.188,0.7321,0.44838,0.96292,0.94547,0.98114,0.98414,0.76298,0.78131,0.42287,0.96263,0.00299,0.00299,0.00299
69,136.095,0.72271,0.45237,0.96568,0.94418,0.96927,0.97927,0.75211,0.8136,0.46799,0.97093,0.00296,0.00296,0.00296
70,138.04,0.71507,0.43761,0.9587,0.9433,0.98468,0.98421,0.76007,0.82687,0.43838,0.97505,0.00293,0.00293,0.00293
71,139.976,0.71548,0.43255,0.96161,0.95892,0.98866,0.9835,0.74217,0.87664,0.44768,0.98343,0.0029,0.0029,0.0029
72,141.927,0.73082,0.43735,0.97571,0.96381,0.98476,0.98057,0.76258,0.81435,0.43327,0.97377,0.00287,0.00287,0.00287
73,143.936,0.71322,0.43002,0.96397,0.96215,0.98317,0.98271,0.7687,0.86192,0.44478,0.98832,0.00284,0.00284,0.00284
74,145.875,0.71731,0.43315,0.96883,0.96242,0.98014,0.98103,0.75558,0.8303,0.42652,0.97943,0.00281,0.00281,0.00281
