epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.2735,1.04226,4.75253,0.00745,0.01009,0.97321,0.49427,0.14312,1.14697,3.38214,0.0101,0.0007,0.0007,0.0937
2,30.4862,1.16641,2.21059,0.00873,0,0,0,0,1.92227,4.82506,0.01965,0.00148515,0.00148515,0.0864852
3,32.2709,1.03592,1.3435,0.00779,0,0,0,0,1.88173,5.30421,0.01915,0.00225446,0.00225446,0.0792545
4,34.055,1.07609,1.22761,0.00798,0,0,0,0,1.90533,4.59331,0.02134,0.00300793,0.00300793,0.0720079
5,35.8499,1.14517,1.00818,0.00826,0,0,0,0,1.86496,4.84037,0.02025,0.00374556,0.00374556,0.0647456
6,37.8578,1.03024,0.90806,0.00741,0.79365,0.44643,0.61677,0.24223,1.88207,3.94792,0.01632,0.00446735,0.00446735,0.0574674
7,39.6256,1.14607,0.87267,0.00809,0.60465,0.23214,0.40883,0.12481,2.05051,4.10721,0.01735,0.0051733,0.0051733,0.0501733
8,41.4088,1.3389,0.92078,0.00947,0.53714,0.83929,0.7966,0.4973,1.31316,3.24337,0.01142,0.00586341,0.00586341,0.0428634
9,43.1965,1.17045,0.92627,0.00799,0.22803,0.97321,0.85617,0.54608,1.30143,2.27422,0.01201,0.00653768,0.00653768,0.0355377
10,44.9665,0.98885,0.78318,0.00696,0.18947,0.96429,0.82323,0.47307,1.44809,2.50574,0.0128,0.00719611,0.00719611,0.0281961
11,46.9328,1.01992,0.69776,0.00753,0.94156,0.43156,0.8505,0.54324,1.34003,1.78778,0.01209,0.0078387,0.0078387,0.0208387
12,48.7663,0.92288,0.66598,0.00673,0.92404,0.6875,0.90706,0.59355,1.23846,1.21518,0.01053,0.00846545,0.00846545,0.0134655
13,50.5379,0.92792,0.52149,0.00633,0.93445,0.50915,0.8208,0.48941,1.39695,1.6234,0.01175,0.008812,0.008812,0.008812
14,52.2784,0.9321,0.55389,0.00668,0.76543,0.75753,0.87874,0.48699,1.61883,0.98369,0.01365,0.008713,0.008713,0.008713
15,54.1876,1.10655,0.59502,0.00737,0.87567,0.61607,0.84388,0.55907,1.21497,1.34383,0.01105,0.008614,0.008614,0.008614
16,55.9502,0.95227,0.56198,0.00731,0.7712,0.65179,0.82542,0.42248,1.70636,1.2457,0.01518,0.008515,0.008515,0.008515
17,57.6849,1.03032,0.56105,0.00733,0.68214,0.65179,0.72413,0.46436,1.34963,1.28772,0.01199,0.008416,0.008416,0.008416
18,59.4664,0.98442,0.51874,0.00694,0.89508,0.68553,0.86389,0.53815,1.3397,0.96317,0.01144,0.008317,0.008317,0.008317
19,61.2207,0.9193,0.50785,0.00617,0.80503,0.84821,0.88986,0.5972,1.19603,1.09735,0.01061,0.008218,0.008218,0.008218
20,63.1946,0.91793,0.48245,0.00669,0.7818,0.70536,0.84747,0.54628,1.30911,1.20585,0.01109,0.008119,0.008119,0.008119
21,64.9572,0.77287,0.45923,0.0052,0.97587,0.73214,0.89361,0.49262,1.59125,1.1591,0.01377,0.00802,0.00802,0.00802
22,66.7249,0.92086,0.5086,0.00653,0.85898,0.75,0.87318,0.5765,1.24441,1.1446,0.01064,0.007921,0.007921,0.007921
23,68.4961,0.84729,0.47771,0.00621,0.93515,0.77679,0.88636,0.59346,1.18306,1.49748,0.0097,0.007822,0.007822,0.007822
24,70.2803,0.81658,0.44751,0.00591,0.89326,0.74722,0.8944,0.52904,1.41031,0.94421,0.01207,0.007723,0.007723,0.007723
