epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,71.3801,0.51457,0.31146,0.00341,0.94032,0.94643,0.98136,0.64109,1.3087,0.47019,0.01118,0.000613,0.000613,0.000613
45,72.7907,0.53774,0.31239,0.00359,0.91917,0.91377,0.97989,0.65501,1.27398,0.47529,0.01099,0.000604,0.000604,0.000604
46,74.0971,0.53782,0.31941,0.00355,0.929,0.93468,0.98129,0.65363,1.263,0.47766,0.01081,0.000595,0.000595,0.000595
47,75.4024,0.5596,0.3005,0.00362,0.94624,0.94302,0.98532,0.64864,1.29238,0.46959,0.01094,0.000586,0.000586,0.000586
48,76.7183,0.54579,0.31885,0.00378,0.94617,0.94157,0.98605,0.65977,1.26473,0.45858,0.01085,0.000577,0.000577,0.000577
49,78.12,0.52528,0.30128,0.00376,0.93848,0.95345,0.98519,0.63207,1.36071,0.48096,0.01182,0.000568,0.000568,0.000568
50,79.4366,0.5301,0.27826,0.0035,0.92136,0.97321,0.98375,0.60816,1.43724,0.49988,0.01243,0.000559,0.000559,0.000559
51,80.7427,0.51231,0.30353,0.00343,0.96297,0.94643,0.98582,0.62257,1.36044,0.47826,0.01172,0.00055,0.00055,0.00055
52,82.0516,0.53041,0.31884,0.00349,0.92108,0.97321,0.98207,0.62442,1.37586,0.51028,0.01181,0.000541,0.000541,0.000541
53,83.3515,0.4933,0.2758,0.00343,0.9382,0.9375,0.98496,0.61047,1.44101,0.53633,0.01231,0.000532,0.000532,0.000532
54,84.7683,0.51668,0.29496,0.00353,0.93,0.96429,0.98398,0.57539,1.5789,0.58173,0.01387,0.000523,0.000523,0.000523
55,86.0831,0.52689,0.29577,0.00378,0.94741,0.98214,0.98768,0.59117,1.55606,0.50137,0.01379,0.000514,0.000514,0.000514
56,87.3973,0.51499,0.29277,0.00355,0.96819,0.92857,0.98711,0.61721,1.42599,0.48412,0.01253,0.000505,0.000505,0.000505
57,88.7093,0.51055,0.28459,0.00346,0.95949,0.9375,0.98486,0.60869,1.4285,0.50481,0.01239,0.000496,0.000496,0.000496
58,90.1128,0.53423,0.27007,0.00362,0.95631,0.94643,0.984,0.59393,1.4847,0.5222,0.01285,0.000487,0.000487,0.000487
59,91.4217,0.50901,0.27402,0.00345,0.9481,0.97874,0.98461,0.59349,1.50242,0.51368,0.01313,0.000478,0.000478,0.000478
