epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.00546,0.88959,2.60163,0.93523,0.97962,0.86607,0.95139,0.46886,1.57316,1.9791,1.23795,0.0007,0.0007,0.0937
2,5.59275,0.93562,1.18132,1.01315,0.01037,1,0.66039,0.36602,1.42236,2.93761,1.54639,0.00148515,0.00148515,0.0864852
3,6.97812,0.9271,0.79485,1.06142,1,0.20874,0.92192,0.49623,1.51188,2.26673,1.71852,0.00225446,0.00225446,0.0792545
4,8.36756,0.84376,0.70662,0.98099,0.8434,0.73214,0.80345,0.45115,1.44454,1.33485,1.92658,0.00300793,0.00300793,0.0720079
5,9.75573,0.86793,0.66236,1.00525,0.48813,0.4375,0.40595,0.11929,2.28028,4.48159,2.9066,0.00374556,0.00374556,0.0647456
6,11.1186,0.85676,0.65349,1.00224,0.0244,0.49107,0.02291,0.01002,2.00918,9.01132,2.00124,0.00446735,0.00446735,0.0574674
7,12.5386,1.02785,0.66929,1.06649,0,0,0,0,4.12937,inf,43.1765,0.0051733,0.0051733,0.0501733
8,13.8989,0.92542,0.6825,1.06909,0,0,0,0,3.88716,inf,6.16824,0.00586341,0.00586341,0.0428634
9,15.2366,0.89067,0.63329,1.00001,0.00028,0.02679,0.00014,1e-05,3.85451,inf,6.61939,0.00653768,0.00653768,0.0355377
10,16.568,0.87363,0.59374,0.99356,0.02027,0.17857,0.01344,0.00269,3.71795,4.40416,4.92442,0.00719611,0.00719611,0.0281961
11,17.9338,0.87772,0.61571,1.03714,0.89573,0.84821,0.9156,0.48411,1.45862,2.15553,1.54728,0.0078387,0.0078387,0.0208387
12,19.2535,0.83538,0.57102,1.01136,0.40404,0.85714,0.78353,0.43096,1.5218,6.82096,1.74979,0.00846545,0.00846545,0.0134655
13,20.5597,0.83439,0.55089,0.97984,0.64806,0.44394,0.48789,0.25173,1.68272,2.71257,1.70995,0.008812,0.008812,0.008812
14,21.9184,0.8353,0.53911,0.98447,0.6598,0.77679,0.75281,0.36628,1.58829,2.20031,1.70691,0.008713,0.008713,0.008713
15,23.2543,0.82293,0.54235,0.97242,0.73227,0.82143,0.87547,0.55033,1.23642,2.68534,1.36423,0.008614,0.008614,0.008614
16,24.606,0.8118,0.51821,0.99549,0.98071,0.90766,0.96646,0.53562,1.57645,2.67614,1.62551,0.008515,0.008515,0.008515
17,26.0866,0.79688,0.51842,0.99427,0.95062,0.84821,0.9315,0.56756,1.29178,3.29963,1.39677,0.008416,0.008416,0.008416
18,27.5484,0.74289,0.488,0.95061,0.95314,0.72645,0.88449,0.51037,1.40786,3.34588,1.53823,0.008317,0.008317,0.008317
19,29.0087,0.75229,0.47697,0.95787,0.84592,0.8125,0.92324,0.5432,1.40357,2.32703,1.68601,0.008218,0.008218,0.008218
20,30.4046,0.74607,0.46537,0.96747,0.91754,0.83929,0.94726,0.56976,1.3715,1.93408,1.60463,0.008119,0.008119,0.008119
21,31.8553,0.69365,0.45411,0.92579,0.93119,0.84578,0.95477,0.53738,1.49396,3.30701,1.64231,0.00802,0.00802,0.00802
22,33.203,0.74837,0.46865,0.9699,0.94513,0.97321,0.98053,0.59222,1.27826,2.05674,1.40315,0.007921,0.007921,0.007921
23,34.5701,0.70263,0.44782,0.96313,0.8812,0.92724,0.96925,0.5545,1.39026,1.55137,1.57608,0.007822,0.007822,0.007822
24,36.0744,0.7158,0.44757,0.96499,0.83576,0.89286,0.94525,0.5551,1.31551,2.03048,1.43202,0.007723,0.007723,0.007723
25,37.4396,0.67776,0.42831,0.93865,0.7853,0.84913,0.90989,0.51504,1.40865,3.63802,1.48503,0.007624,0.007624,0.007624
26,38.7482,0.70106,0.43865,0.95464,0.90543,0.91964,0.97973,0.63682,1.17707,3.06912,1.29988,0.007525,0.007525,0.007525
